inquiry_id,contractor_id,equipment_id,duration_days,start_date,site_address,additional_notes
INQ-001,C001,E001,5,2026-09-15,123 Main St, City A,"Standard excavation for foundation. Site is open and easily accessible."
INQ-002,C003,E003,3,2026-09-12,456 Oak Ave, City B,"Trenching for underground utilities. Sidewalk access only, narrow alley."
INQ-003,C002,E002,7,2026-09-28,789 Pine Ln, City A,"Large-scale grading for new school playground."
INQ-004,C004,E001,2,2026-09-10,321 Elm St, City C,"Urgent small dig. Customer says no license needed? Waiting for paperwork."
INQ-005,C005,E004,1,2026-09-09,654 Cedar Rd, City B,"Need to lift materials to 3rd floor. Confirmed flat ground."
INQ-006,C006,E008,4,2026-10-01,987 Maple Dr, City A,"Heavy lift for AC units on rooftop. Requires crane setup permit."
INQ-007,C007,E005,10,2026-09-20,147 Birch St, City C,"Paving job. Need continuous air supply for 10 days."
INQ-008,C008,E006,14,2026-09-25,258 Spruce Way, City B,"Hauling gravel across city. Need long-term rental."
INQ-009,C009,E001,6,2026-09-18,369 Ash Blvd, City A,"Basement digging. Tight access through back gate."
INQ-010,C010,E009,2,2026-09-08,741 Willow Ct, City C,"Need to place trusses. Operator will be on-site."
INQ-011,C001,E007,5,2026-09-30,852 Fir St, City A,"Compacting sub-base for driveway."
INQ-012,C003,E008,3,2026-09-11,963 Pinecrest, City B,"Emergency crane rental. Building collapse support."
INQ-013,C002,E010,1,2026-09-07,159 Oakwood, City A,"Backup power for outdoor event. Requesting generator."
INQ-014,C006,E004,1,2026-10-05,753 High St, City C,"Need boom lift for sign installation. No site constraints."
INQ-015,C004,E002,5,2026-09-16,852 Lowland, City B,"Dozer required for flood cleanup. Very soft/muddy terrain."
